State,District,Year,Groundwater_Level_m,Category,Recharge_BCM,Extraction_BCM
Punjab,Amritsar,2014,12.3,Semi-Critical,0.185,0.245
Punjab,Amritsar,2015,12.8,Semi-Critical,0.178,0.252
Punjab,Amritsar,2016,13.2,Critical,0.172,0.258
Punjab,Amritsar,2017,13.7,Critical,0.169,0.265
Punjab,Amritsar,2018,14.1,Critical,0.165,0.271
Punjab,Amritsar,2019,14.4,Critical,0.162,0.276
Punjab,Amritsar,2020,14.6,Critical,0.175,0.278
Punjab,Amritsar,2021,14.5,Critical,0.173,0.281
Punjab,Amritsar,2022,14.6,Critical,0.171,0.282
Punjab,Amritsar,2023,14.7,Semi-Critical,0.171,0.284
Punjab,Barnala,2014,30.8,Over-Exploited,0.112,0.145
Punjab,Barnala,2015,31.5,Over-Exploited,0.108,0.148
Punjab,Barnala,2016,32.1,Over-Exploited,0.105,0.150
Punjab,Barnala,2017,32.8,Over-Exploited,0.102,0.152
Punjab,Barnala,2018,33.2,Over-Exploited,0.100,0.153
Punjab,Barnala,2019,33.6,Over-Exploited,0.098,0.154
Punjab,Barnala,2020,33.8,Over-Exploited,0.101,0.155
Punjab,Barnala,2021,34.0,Over-Exploited,0.098,0.156
Punjab,Barnala,2022,34.1,Over-Exploited,0.095,0.156
Punjab,Barnala,2023,34.2,Over-Exploited,0.093,0.156
Punjab,Bathinda,2014,14.2,Critical,0.168,0.165
Punjab,Bathinda,2015,14.8,Critical,0.162,0.167
Punjab,Bathinda,2016,15.3,Critical,0.158,0.169
Punjab,Bathinda,2017,15.9,Critical,0.155,0.171
Punjab,Bathinda,2018,16.2,Critical,0.152,0.172
Punjab,Bathinda,2019,16.4,Critical,0.150,0.173
Punjab,Bathinda,2020,16.5,Critical,0.155,0.174
Punjab,Bathinda,2021,16.6,Critical,0.154,0.174
Punjab,Bathinda,2022,16.6,Critical,0.153,0.175
Punjab,Bathinda,2023,16.7,Critical,0.153,0.175
Punjab,Faridkot,2014,7.8,Semi-Critical,0.078,0.085
Punjab,Faridkot,2015,8.1,Semi-Critical,0.075,0.087
Punjab,Faridkot,2016,8.4,Semi-Critical,0.073,0.089
Punjab,Faridkot,2017,8.7,Semi-Critical,0.071,0.091
Punjab,Faridkot,2018,8.9,Semi-Critical,0.070,0.093
Punjab,Faridkot,2019,9.0,Semi-Critical,0.068,0.094
Punjab,Faridkot,2020,9.0,Semi-Critical,0.069,0.095
Punjab,Faridkot,2021,9.1,Semi-Critical,0.068,0.095
Punjab,Faridkot,2022,9.1,Semi-Critical,0.067,0.096
Punjab,Faridkot,2023,9.1,Semi-Critical,0.067,0.096
Punjab,Fatehgarh Sahib,2014,20.5,Over-Exploited,0.072,0.082
Punjab,Fatehgarh Sahib,2015,21.1,Over-Exploited,0.069,0.083
Punjab,Fatehgarh Sahib,2016,21.6,Over-Exploited,0.067,0.084
Punjab,Fatehgarh Sahib,2017,22.1,Over-Exploited,0.065,0.085
Punjab,Fatehgarh Sahib,2018,22.5,Over-Exploited,0.063,0.086
Punjab,Fatehgarh Sahib,2019,22.8,Over-Exploited,0.062,0.087
Punjab,Fatehgarh Sahib,2020,22.9,Over-Exploited,0.063,0.088
Punjab,Fatehgarh Sahib,2021,23.0,Over-Exploited,0.062,0.088
Punjab,Fatehgarh Sahib,2022,23.1,Over-Exploited,0.061,0.089
Punjab,Fatehgarh Sahib,2023,23.2,Over-Exploited,0.061,0.089
Punjab,Fazilka,2014,10.2,Semi-Critical,0.095,0.102
Punjab,Fazilka,2015,10.6,Semi-Critical,0.092,0.105
Punjab,Fazilka,2016,10.9,Semi-Critical,0.090,0.107
Punjab,Fazilka,2017,11.2,Semi-Critical,0.088,0.109
Punjab,Fazilka,2018,11.4,Semi-Critical,0.087,0.110
Punjab,Fazilka,2019,11.6,Semi-Critical,0.086,0.111
Punjab,Fazilka,2020,11.7,Semi-Critical,0.086,0.111
Punjab,Fazilka,2021,11.7,Semi-Critical,0.085,0.112
Punjab,Fazilka,2022,11.8,Semi-Critical,0.085,0.112
Punjab,Fazilka,2023,11.8,Semi-Critical,0.085,0.112
Punjab,Ferozepur,2014,8.5,Critical,0.265,0.275
Punjab,Ferozepur,2015,8.9,Critical,0.258,0.278
Punjab,Ferozepur,2016,9.2,Critical,0.252,0.280
Punjab,Ferozepur,2017,9.6,Critical,0.248,0.282
Punjab,Ferozepur,2018,9.8,Critical,0.245,0.284
Punjab,Ferozepur,2019,10.0,Critical,0.242,0.285
Punjab,Ferozepur,2020,10.1,Critical,0.243,0.286
Punjab,Ferozepur,2021,10.1,Critical,0.241,0.286
Punjab,Ferozepur,2022,10.2,Critical,0.240,0.287
Punjab,Ferozepur,2023,10.2,Critical,0.240,0.287
Punjab,Gurdaspur,2014,5.8,Safe,0.215,0.115
Punjab,Gurdaspur,2015,6.1,Safe,0.210,0.118
Punjab,Gurdaspur,2016,6.3,Safe,0.206,0.120
Punjab,Gurdaspur,2017,6.6,Safe,0.203,0.121
Punjab,Gurdaspur,2018,6.8,Safe,0.201,0.122
Punjab,Gurdaspur,2019,6.9,Safe,0.199,0.123
Punjab,Gurdaspur,2020,7.0,Safe,0.200,0.124
Punjab,Gurdaspur,2021,7.0,Safe,0.198,0.124
Punjab,Gurdaspur,2022,7.1,Safe,0.196,0.125
Punjab,Gurdaspur,2023,7.1,Safe,0.195,0.125
Punjab,Hoshiarpur,2014,15.2,Safe,0.158,0.089
Punjab,Hoshiarpur,2015,15.8,Safe,0.152,0.092
Punjab,Hoshiarpur,2016,16.2,Safe,0.148,0.094
Punjab,Hoshiarpur,2017,16.6,Safe,0.145,0.095
Punjab,Hoshiarpur,2018,16.9,Safe,0.143,0.096
Punjab,Hoshiarpur,2019,17.1,Safe,0.141,0.097
Punjab,Hoshiarpur,2020,17.2,Safe,0.142,0.097
Punjab,Hoshiarpur,2021,17.2,Safe,0.141,0.098
Punjab,Hoshiarpur,2022,17.3,Safe,0.140,0.098
Punjab,Hoshiarpur,2023,17.3,Safe,0.142,0.098
Punjab,Jalandhar,2014,22.8,Over-Exploited,0.145,0.165
Punjab,Jalandhar,2015,23.4,Over-Exploited,0.141,0.168
Punjab,Jalandhar,2016,23.9,Over-Exploited,0.138,0.170
Punjab,Jalandhar,2017,24.4,Over-Exploited,0.136,0.172
Punjab,Jalandhar,2018,24.8,Over-Exploited,0.134,0.173
Punjab,Jalandhar,2019,25.1,Over-Exploited,0.132,0.174
Punjab,Jalandhar,2020,25.2,Over-Exploited,0.133,0.174
Punjab,Jalandhar,2021,25.3,Over-Exploited,0.131,0.175
Punjab,Jalandhar,2022,25.4,Over-Exploited,0.130,0.175
Punjab,Jalandhar,2023,25.5,Over-Exploited,0.130,0.175
Punjab,Kapurthala,2014,16.2,Critical,0.102,0.108
Punjab,Kapurthala,2015,16.8,Critical,0.098,0.110
Punjab,Kapurthala,2016,17.3,Critical,0.095,0.112
Punjab,Kapurthala,2017,17.7,Critical,0.093,0.114
Punjab,Kapurthala,2018,18.1,Critical,0.091,0.115
Punjab,Kapurthala,2019,18.4,Critical,0.090,0.116
Punjab,Kapurthala,2020,18.5,Critical,0.090,0.117
Punjab,Kapurthala,2021,18.6,Critical,0.089,0.117
Punjab,Kapurthala,2022,18.7,Critical,0.089,0.118
Punjab,Kapurthala,2023,18.8,Critical,0.089,0.118
Punjab,Ludhiana,2014,18.2,Over-Exploited,0.238,0.285
Punjab,Ludhiana,2015,18.9,Over-Exploited,0.232,0.288
Punjab,Ludhiana,2016,19.4,Over-Exploited,0.228,0.291
Punjab,Ludhiana,2017,19.9,Over-Exploited,0.225,0.294
Punjab,Ludhiana,2018,20.3,Over-Exploited,0.222,0.295
Punjab,Ludhiana,2019,20.6,Over-Exploited,0.220,0.296
Punjab,Ludhiana,2020,20.7,Over-Exploited,0.220,0.297
Punjab,Ludhiana,2021,20.9,Over-Exploited,0.218,0.297
Punjab,Ludhiana,2022,21.0,Over-Exploited,0.216,0.298
Punjab,Ludhiana,2023,21.1,Over-Exploited,0.215,0.298
Punjab,Mansa,2014,12.8,Critical,0.125,0.135
Punjab,Mansa,2015,13.3,Critical,0.121,0.138
